"WR","Overall","Player","Team","Bye","ESPN","Sleeper","CBS","NFL","RTSports","Fantrax","AVG","Real-Time (?)"
"319","581","Donovan Peoples-Jones","","","","","","292","","","292.0",""
"320","","Quintez Cephus","HOU","6","","","","293","","","293.0",""
"321","","Collin Johnson","","","","","","294","","","294.0",""
"322","","Quez Watkins","","","","","","295","","","295.0",""
"323","","Marquez Callaway","","","","","","296","","","296.0",""
"324","","Mason Kinsey","TEN","10","","","","297","","","297.0",""
"325","","Kristian Wilkerson","BUF","7","","","","298","","","298.0",""
"326","","Chris Blair","ATL","5","","","","299","","","299.0",""
"327","","Simi Fehoko","ARI","8","","","","301","","","301.0",""
"328","","Seth Williams","LV","8","","","","302","","","302.0",""
"329","","Jacob Harris","","","","","","303","","","303.0",""
"330","671","Ihmir Smith-Marsette","NYG","14","","","","304","","","304.0",""
"331","908","Kawaan Baker","","","","","","305","","","305.0",""
"332","911","Brandon Smith","NYJ","9","","","","307","","","307.0",""
"333","914","Michael Bandy","DEN","12","","","","308","","","308.0",""
"334","917","Montrell Washington","","","","","","310","","","310.0",""
"335","919","Samori Toure","","","","","","311","","","311.0",""
"336","921","Lance McCutcheon","","","","","","312","","","312.0",""
"337","922","Erik Ezukanma","MIA","12","","","","313","","","313.0",""
"338","928","Dennis Houston","TB","9","","","","314","","","314.0",""
"339","929","Jalen Virgil","","","","","","315","","","315.0",""
"340","","Tay Martin","WAS","12","","","","316","","","316.0",""
"341","681","Tyler Scott","CHI","5","","","","318","","","318.0",""
"342","","Grant DuBose","","","","","","319","","","319.0",""
"343","","Colton Dowell","","","","","","320","","","320.0",""
"344","","A.T. Perry","DEN","12","","","","321","","","321.0",""
"345","","Bryce Ford-Wheaton","NYG","14","","","","322","","","322.0",""
"346","","T.J. Luther","","","","","","323","","","323.0",""
"347","","Jesse Matthews","","","","","","325","","","325.0",""
"348","","Elijah Cooks","","","","","","327","","","327.0",""
"349","","Malik Cunningham","BAL","7","","","","328","","","328.0",""
"350","","Dylan Drummond","ATL","5","","","","329","","","329.0",""
"351","","Ontaria Wilson","","","","","","330","","","330.0",""
"352","556","Louis Rees-Zammit","","","","","","332","","","332.0",""
"353","","Tahj Washington","MIA","12","","","","333","","","333.0",""
"354","","Cornelius Johnson","GB","5","","","","334","","","334.0",""
"355","635","Brenden Rice","LAC","12","","","","335","","","335.0",""
"356","","Dayton Wade","BAL","7","","","","336","","","336.0",""
"357","","Julian Hicks","GB","5","","","","337","","","337.0",""
"358","","JaQuae Jackson","LAC","12","","","","338","","","338.0",""
"359","","Xavier Johnson","","","","","","339","","","339.0",""
"360","933","Cole Burgess","","","","","","340","","","340.0",""
"361","936","Joshua Cephus","JAC","8","","","","341","","","341.0",""
"362","937","Jeshaun Jones","MIN","6","","","","343","","","343.0",""
"363","939","John Jiles","NE","14","","","","344","","","344.0",""
"364","940","John Rhys Plumlee","SEA","8","","","","345","","","345.0",""
"365","945","Drake Stoops","LAR","8","","","","346","","","346.0",""
"366","947","Jaelen Gill","","","","","","347","","","347.0",""
"367","951","Xavier Guillory","BAL","7","","","","349","","","349.0",""
"368","954","Hal Presley","KC","10","","","","350","","","350.0",""
""
""
